review,sentiment,aspects
1,Neutral,
2,Neutral,
3,Neutral,
4,Neutral,
5,Positive,
6,Neutral,
7,Neutral,
8,Neutral,
9,Neutral,
10,Positive,
11,Neutral,
12,Neutral,
13,Neutral,
14,Neutral,
15,Neutral,
16,Neutral,
17,Neutral,
18,Neutral,
19,Neutral,
20,Neutral,
21,Neutral,
22,Neutral,
23,Neutral,
24,Neutral,
25,Neutral,
26,Neutral,
27,Neutral,
28,Neutral,
29,Neutral,
30,Neutral,
31,Neutral,
32,Neutral,
33,Neutral,
34,Neutral,
35,Neutral,
36,Neutral,
37,Neutral,
38,Neutral,
39,Neutral,
40,Neutral,
41,Neutral,
42,Neutral,
43,Neutral,
44,Neutral,
45,Neutral,
46,Neutral,
47,Neutral,
48,Neutral,
49,Neutral,
50,Neutral,
51,Neutral,
52,Neutral,
53,Neutral,
54,Neutral,
55,Neutral,
56,Neutral,
57,Neutral,
58,Neutral,
59,Neutral,
60,Neutral,
61,Neutral,
62,Neutral,
63,Neutral,
64,Neutral,
65,Neutral,
66,Neutral,
67,Neutral,
68,Neutral,
69,Neutral,
70,Neutral,
71,Neutral,
72,Neutral,
73,Neutral,
74,Neutral,
75,Neutral,
76,Neutral,
77,Neutral,
78,Neutral,
79,Neutral,
